id,Country code,Country,Unit Name,loc_codes,tech_code,Latitude ,Longitude,Status,Type,Reservoir Size million m3,Mean Annual Discharge m3/s,Design Discharge m3/s,Reservoir area (km2),source,First Year,Capacity (MW),CF_H1D1,CF_H1D2,CF_S1D1,CF_S1D2,CF_H2D1,CF_H2D2,CF_S2D1,CF_S2D2,CF_H3D1,CF_H3D2,CF_S3D1,CF_S3D2,CF_H4D1,CF_H4D2,CF_S4D1,CF_S4D2
26,SD,SUDAN,Sennar,SN,SDHYDSNS03,13.30,33.89,Existing,Reservoir,930,1 544.27,,15.2,,1962,26,0.500,0.500,0.367136849,0.114052449,0.50,0.50,0.289343044,0.078925713,0.50,0.50,0.33376082,0.114590871,0.50,0.50,0.39572908,0.117331846
33,SD,SUDAN,Shereik,SH,SDHYDSHS03,19.23,33.48,Candidate,Reservoir,,2 657.28,1 945.00,,,2025,420,0.968,0.968,0.403671191,0.132951123,1.00,1.00,0.350340399,0.113667978,1.00,1.00,0.355961047,0.132739617,0.98,0.98,0.406304001,0.124821917
23,ET,ETHIOPIA,Tams,TM,ETHYDTMS03,7.972916667,35.32708333,Candidate,Reservoir,4 800,,,76,,2031,1000,0.5,0.5,0.271186421,0.094730189,0.5,0.5,0.19225094,0.070605205,0.5,0.5,0.234211186,0.10729649,0.5,0.5,0.330753717,0.11023679
6,ET,ETHIOPIA,Tekeze 1,T1,ETHYDT1S03,13.34763,38.74316,Existing,Reservoir,9 000,221.97,184.00,129,https://www.mdpi.com/2073-4441/12/8/2237,2010,300,1,1,0.287426565,0.138854168,1,1,0.262417243,0.114038791,1,1,0.246598323,0.143809536,1,1,0.268179432,0.113901266
15,ET,ETHIOPIA,Tekeze 2,T2,ETHYDT2S03,13.790556,37.997222,Candidate,Reservoir,NA,221.97,168.00,NA,same reservoir as 1,2025,380,1,1,0.298784334,0.139504074,1,1,0.261416612,0.113896294,1,1,0.286198188,0.152393729,1,1,0.322456063,0.144823195
31,SD,SUDAN,Upper Atbara,UA,SDHYDUAS03,14.28,35.90,Existing,Reservoir,2 700,348.81,,100,earth,2017,320,0.027317155,0.027317155,0.355302618,0.12280474,0.59015231,0.59015231,0.308366572,0.100237762,0.44439081,0.44439081,0.334291981,0.129181535,0.029266361,0.029266361,0.377241228,0.123978404
16,ET,ETHIOPIA,Upper Dabus,UD,ETHYDUDS03,9.986011,34.893504,Candidate,Reservoir,2 470,0.89,,,https://www.pietrangeli.com/cascade-hydropower-ethiopia-africa/,2025,326,0.039472117,0.039472117,0.292096348,0.104071903,0.846361573,0.846361573,0.240395363,0.062626351,0.5321951,0.5321951,0.283774712,0.108681731,0.022890325,0.022890325,0.379132821,0.117723066
19,ET,ETHIOPIA,Upper Mandaya,UM,ETHYDUMS03,9.95,35.68,Candidate,Reservoir,13,,,,https://www.multiconsultgroup.com/projects/mandaya-og-beko-abo/,2030,1700,0.050,0.050,0.327569123,0.09733253,0.79,0.79,0.262302015,0.070104277,0.50,0.50,0.321106831,0.102739563,0.03,0.03,0.375963703,0.111860513
25,SS,SOUTH SUDAN,Wau,WA,SSHYDWAS03,7.68,28.05,Candidate,Reservoir,2 000,,,,,2030,10.4,0.310294453,0.310294453,0.355364995,0.088994541,0.145436798,0.145436798,0.296346847,0.070238719,0.719049943,0.719049943,0.33079598,0.099134948,0.063152757,0.063152757,0.394324048,0.09488829
44,SS,SOUTH SUDAN,Bedden,BD,SSHYDBDS03,4.562483333,31.50418333,Candidate,RoR,NA,NA,NA,NA,NA,2024,570,1,1,,,0.670263074,0.670263074,,,0.915257908,0.915257908,,,0.67857773,0.67857773,,
38,EG,EGYPT,Esna,ES,EGHYDESS03,25.32,32.56,Existing,RoR,NA,NA,NA,NA,NA,2010,86,0.929,0.929,,,0.929,0.929,,,0.929,0.929,,,0.929,0.929,,
45,SS,SOUTH SUDAN,Fula,FL,SSHYDFLS03,3.954004,31.708496,Candidate,RoR,NA,NA,NA,NA,NA,2024,890,0.808909948,0.808909948,,,0.234683379,0.234683379,,,0.340127968,0.340127968,,,0.253638812,0.253638812,,
48,SS,SOUTH SUDAN,Fula Small,FS,SSHYDFSS03,3.670833336,31.97291667,Candidate,RoR,NA,NA,NA,NA,NA,2025,42,0.808909948,0.808909948,,,0.234683379,0.234683379,,,0.340127968,0.340127968,,,0.253638812,0.253638812,,
46,SS,SOUTH SUDAN,Lakki,LK,SSHYDLKS03,4.128655,31.58125,Candidate,RoR,NA,NA,NA,NA,NA,2024,410,1,1,,,0.662219787,0.662219787,,,0.916078605,0.916078605,,,0.690546351,0.690546351,,
39,EG,EGYPT,Naga Hamadi,NH,EGHYDNHS03,26.05,32.25,Existing,RoR,NA,NA,NA,NA,NA,2010,64,1.000,1.000,,,1.000,1.000,,,1.000,1.000,,,1.000,1.000,,
40,EG,EGYPT,New Assiut Barrage,NB,EGHYDNBS03,30.00,31.25,Existing,RoR,NA,NA,NA,NA,NA,2018,31.74,1.000,1.000,,,1.000,1.000,,,1.000,1.000,,,1.000,1.000,,
47,SS,SOUTH SUDAN,Shukoli,SL,SSHYDSLS03,4.036405666,31.63442767,Candidate,RoR,NA,NA,NA,NA,NA,2024,235,0.803466447,0.803466447,,,0.231950889,0.231950889,,,0.339396058,0.339396058,,,0.241872627,0.241872627,,
43,ET,ETHIOPIA,Sor,SR,ETHYDSRS03,8.39,35.44,Existing,RoR,NA,NA,NA,NA,NA,2014,5,0.176050862,0.176050862,,,0.971626734,0.971626734,,,0.698297604,0.698297604,,,0.053270282,0.053270282,,
41,ET,ETHIOPIA,Tis Abay 1,T1,ETHYDT1S03,11.49,37.59,Existing,RoR,NA,NA,NA,NA,NA,2000,11,1.000,1.000,,,1.000,1.000,,,1.000,1.000,,,1.000,1.000,,
42,ET,ETHIOPIA,Tis Abay 2,T2,ETHYDT2S03,11.49,37.6,Existing,RoR,NA,NA,NA,NA,NA,2010,78,1.000,1.000,,,1.000,1.000,,,1.000,1.000,,,1.000,1.000,,
